class_label,code
0,0
South Florida Bayhead Swamp,1
South Florida Cypress Dome,2
South Florida Dwarf Cypress Savanna,3
South Florida Mangrove Swamp,4
South Florida Hardwood Hammock,5
Southeast Florida Coastal Strand and Maritime Hammock,6
Southwest Florida Coastal Strand and Maritime Hammock,7
South Florida Pine Rockland,8
Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Open Understory,9
Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Scrub/Shrub Understory,10
Atlantic Coastal Plain Upland Longleaf Pine Woodland,11
Atlantic Coastal Plain Xeric River Dune,12
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Open Understory Modifier,13
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Scrub/Shrub Modifier,14
Florida Longleaf Pine Sandhill - Scrub/Shrub Understory Modifier,15
Florida Longleaf Pine Sandhill- Open Understory Modifier,16
West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,17
Atlantic Coastal Plain Central Maritime Forest,18
Atlantic Coastal Plain Southern Maritime Forest,19
Central and South Texas Coastal Fringe Forest and Woodland,20
East Gulf Coastal Plain Limestone Forest,21
East Gulf Coastal Plain Maritime Forest,22
East Gulf Coastal Plain Southern Loess Bluff Forest,23
East Gulf Coastal Plain Southern Mesic Slope Forest,24
Mississippi Delta Maritime Forest,25
Southern Coastal Plain Dry Upland Hardwood Forest,26
Southern Coastal Plain Oak Dome and Hammock,27
West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,28
West Gulf Coastal Plain Mesic Hardwood Forest,29
East-Central Texas Plains Pine Forest and Woodland,30
West Gulf Coastal Plain Pine-Hardwood Forest,31
West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,32
Atlantic Coastal Plain Fall-Line Sandhills Longleaf Pine Woodland - Loblolly Modifier,33
Deciduous Plantations,34
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Loblolly Modifier,35
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Offsite Hardwood Modifier,36
East Gulf Coastal Plain Near-Coast Pine Flatwoods - Offsite Hardwood Modifier,37
Evergreen Plantation or Managed Pine,38
California Central Valley Mixed Oak Savanna,39
California Coastal Closed-Cone Conifer Forest and Woodland,40
California Coastal Live Oak Woodland and Savanna,41
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,42
Central and Southern California Mixed Evergreen Woodland,43
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,44
Southern California Oak Woodland and Savanna,45
Madrean Encinal,46
Madrean Pinyon-Juniper Woodland,47
Madrean Pine-Oak Forest and Woodland,48
Madrean Upper Montane Conifer-Oak Forest and Woodland,49
Edwards Plateau Dry-Mesic Slope Forest and Woodland,50
Edwards Plateau Limestone Savanna and Woodland,51
Edwards Plateau Mesic Canyon,52
"Llano Uplift Acidic Forest, Woodland and Glade",53
East Cascades Oak-Ponderosa Pine Forest and Woodland,54
Mediterranean California Mixed Evergreen Forest,55
Mediterranean California Mixed Oak Woodland,56
North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,57
North Pacific Oak Woodland,58
Edwards Plateau Limestone Shrubland,59
Allegheny-Cumberland Dry Oak Forest and Woodland - Hardwood,60
Allegheny-Cumberland Dry Oak Forest and Woodland - Pine Modifier,61
Central and Southern Appalachian Montane Oak Forest,62
Central and Southern Appalachian Northern Hardwood Forest,63
Central Appalachian Oak and Pine Forest,64
Crosstimbers Oak Forest and Woodland,65
East Gulf Coastal Plain Black Belt Calcareous Prairie and Woodland - Woodland Modifier,66
East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,67
